Zone;Box;pt0;pt1;pt2;pt3;pt4;pt5;pt6;pt7
Reservoir;Box_0 [m];0:0.67:0;0:0:0;0.41:0:0;0.41:0.67:0;0:0.67:0.4;0:0:0.4;0.41:0:0.4;0.41:0.67:0.4
Tank;Box_1 [m];0.5:0.67:0;0.5:0:0;0.9:0:0;0.9:0.67:0;0.5:0.67:0.4;0.5:0:0.4;0.9:0:0.4;0.9:0.67:0.4
World;Box_2 [m];Unknown...

Time [s];Nok_Reservoir;Nok_Tank;Nok_World;Nout_Reservoir;Nout_Tank;Nout_World;Input_Reservoir;Input_Tank;Input_World;Output_Reservoir;Output_Tank;Output_World;InVel_Reservoir [m/s];InVel_Tank [m/s];InVel_World [m/s];InVolume_Reservoir [m^3];InVolume_Tank [m^3];InVolume_World [m^3];InFlow_Reservoir [m^3/s];InFlow_Tank [m^3/s];InFlow_World [m^3/s];OutVolume_Reservoir [m^3];OutVolume_Tank [m^3];OutVolume_World [m^3];OutFlow_Reservoir [m^3/s];OutFlow_Tank [m^3/s];OutFlow_World [m^3/s]
0.700071;49740;35733;42837;0;0;0;0;675;1559;744;815;675;0;0.829968;0.97312;0;0.000414534;0.000957421;0;0.0414998;0.0958491;0.000456909;0.000500512;0.000414534;0.0457419;0.0501071;0.0414998
0.710008;49239;35653;43418;0;0;0;0;747;1328;501;827;747;0;0.816696;1.0094;0;0.000458751;0.000815558;0;0.0461647;0.0820707;0.000307677;0.000507881;0.000458751;0.0309619;0.0511088;0.0461647
0.720074;48433;35530;44347;0;0;0;0;689;1618;806;812;689;0;0.804455;0.936156;0;0.000423132;0.000993654;0;0.0420371;0.098717;0.000494985;0.00049867;0.000423132;0.0491755;0.0495415;0.0420371
0.73006;47918;35420;44972;0;0;0;0;672;1297;515;782;672;0;0.803357;0.972651;0;0.000412692;0.00079652;0;0.0413271;0.0797638;0.000316274;0.000480246;0.000412692;0.0316718;0.048092;0.0413271
0.740071;47254;35366;45690;0;0;0;0;752;1470;664;806;752;0;0.789718;0.935948;0;0.000461822;0.000902764;0;0.0461296;0.0901735;0.000407779;0.000494985;0.000461822;0.0407314;0.0494421;0.0461296
0.750075;46658;35160;46492;0;0;0;0;576;1378;596;782;576;0;0.785938;0.933558;0;0.000353736;0.000846264;0;0.0353595;0.0845926;0.000366019;0.000480246;0.000353736;0.0365872;0.0480054;0.0353595
0.760053;46082;35119;47109;0;0;0;0;716;1333;576;757;716;0;0.773304;0.922683;0;0.000439714;0.000818629;0;0.044066;0.082039;0.000353736;0.000464893;0.000439714;0.0354497;0.0465893;0.044066
0.770011;45533;35004;47773;0;0;0;0;633;1297;549;748;633;0;0.760207;0.911816;0;0.000388741;0.00079652;0;0.0390403;0.0799926;0.000337155;0.000459366;0.000388741;0.0338596;0.0461329;0.0390403
0.780016;44973;34898;48439;0;0;0;0;638;1304;560;744;638;0;0.760905;0.899178;0;0.000391812;0.000800819;0;0.03916;0.0800386;0.00034391;0.000456909;0.000391812;0.0343724;0.0456662;0.03916
0.790026;44416;34748;49146;0;0;0;0;579;1286;557;729;579;0;0.744902;0.883187;0;0.000355578;0.000789765;0;0.0355239;0.0789011;0.000342068;0.000447697;0.000355578;0.0341741;0.044727;0.0355239
0.80002;43841;34671;49798;0;0;0;0;652;1304;575;729;652;0;0.750037;0.866507;0;0.00040041;0.000800819;0;0.0400658;0.0801316;0.000353122;0.000447697;0.00040041;0.0353341;0.0447975;0.0400658
0.810042;43334;34469;50507;0;0;0;0;510;1219;507;712;510;0;0.728202;0.867877;0;0.000313204;0.000748618;0;0.0312516;0.0746974;0.000311361;0.000437257;0.000313204;0.0310677;0.0436297;0.0312516
0.820073;42829;34439;51042;0;0;0;0;667;1202;505;697;667;0;0.732048;0.859354;0;0.000409621;0.000738178;0;0.0408345;0.0735878;0.000310133;0.000428045;0.000409621;0.0309167;0.0426711;0.0408345
0.830037;42383;34293;51634;0;0;0;0;567;1159;446;713;567;0;0.715059;0.852676;0;0.000348209;0.000711771;0;0.0349481;0.071437;0.0002739;0.000437871;0.000348209;0.02749;0.043947;0.0349481
0.840042;41849;34205;52256;0;0;0;0;580;1202;534;668;580;0;0.711893;0.820909;0;0.000356193;0.000738178;0;0.0356011;0.0737802;0.000327943;0.000410236;0.000356193;0.0327776;0.0410026;0.0356011
0.850034;41386;34043;52881;0;0;0;0;489;1114;463;651;489;0;0.695661;0.82558;0;0.000300307;0.000684135;0;0.0300546;0.068468;0.00028434;0.000399795;0.000300307;0.0284566;0.0400113;0.0300546
0.860073;40939;33963;53408;0;0;0;0;588;1115;447;668;588;0;0.701854;0.811416;0;0.000361106;0.000684749;0;0.0359702;0.0682088;0.000274514;0.000410236;0.000361106;0.0273447;0.0408641;0.0359702
0.870002;40493;33873;53944;0;0;0;0;537;1073;446;627;537;0;0.683809;0.796007;0;0.000329785;0.000658956;0;0.0332124;0.0663629;0.0002739;0.000385056;0.000329785;0.0275842;0.0387787;0.0332124
0.880076;40035;33717;54558;0;0;0;0;480;1094;458;636;480;0;0.674414;0.788559;0;0.00029478;0.000671853;0;0.0292613;0.0666914;0.000281269;0.000390584;0.00029478;0.0279202;0.0387712;0.0292613
0.890053;39636;33602;55072;0;0;0;0;527;1041;399;642;527;0;0.66746;0.789101;0;0.000323644;0.000639304;0;0.0324411;0.0640819;0.000245036;0.000394268;0.000323644;0.0245616;0.0395202;0.0324411
0.900064;39205;33485;55620;0;0;0;0;488;1036;431;605;488;0;0.657995;0.765808;0;0.000299693;0.000636234;0;0.0299361;0.063553;0.000264688;0.000371546;0.000299693;0.0264395;0.0371135;0.0299361
0.910076;38839;33316;56155;0;0;0;0;454;989;366;623;454;0;0.656329;0.768399;0;0.000278813;0.00060737;0;0.0278472;0.0606626;0.00022477;0.0003826;0.000278813;0.0224495;0.0382132;0.0278472
0.920048;38434;33201;56675;0;0;0;0;476;996;405;591;476;0;0.631912;0.746542;0;0.000292324;0.000611669;0;0.0293137;0.0613371;0.000248721;0.000362948;0.000292324;0.0249413;0.0363958;0.0293137
0.930076;38058;33097;57155;0;0;0;0;481;961;376;585;481;0;0.643213;0.744396;0;0.000295394;0.000590174;0;0.0294569;0.0588525;0.000230911;0.000359263;0.000295394;0.0230266;0.0358259;0.0294569
0.940014;37670;32891;57749;0;0;0;0;385;979;388;591;385;0;0.623548;0.730649;0;0.000236438;0.000601228;0;0.0237912;0.0604976;0.000238281;0.000362948;0.000236438;0.0239766;0.036521;0.0237912
0.950011;37280;32824;58206;0;0;0;0;509;966;390;576;509;0;0.615207;0.71881;0;0.00031259;0.000593245;0;0.0312699;0.0593453;0.000239509;0.000353736;0.00031259;0.0239593;0.035386;0.0312699
0.960006;37001;32605;58704;0;0;0;0;350;848;279;569;350;0;0.597572;0.734483;0;0.000214944;0.000520778;0;0.021504;0.0521012;0.000171341;0.000349437;0.000214944;0.0171418;0.0349594;0.021504
0.970077;36601;32491;59218;0;0;0;0;452;966;400;566;452;0;0.610308;0.695963;0;0.000277585;0.000593245;0;0.0275644;0.0589098;0.00024565;0.000347595;0.000277585;0.0243933;0.0345165;0.0275644
0.980023;36281;32391;59638;0;0;0;0;444;864;320;544;444;0;0.596895;0.700826;0;0.000272672;0.000530604;0;0.0274145;0.053347;0.00019652;0.000334084;0.000272672;0.0197582;0.0335889;0.0274145
0.990015;35961;32218;60131;0;0;0;0;369;862;320;542;369;0;0.578915;0.692775;0;0.000226612;0.000529376;0;0.0226784;0.0529778;0.00019652;0.000332856;0.000226612;0.0196669;0.0333109;0.0226784
1.00002;35619;32075;60616;0;0;0;0;398;883;342;541;398;0;0.572192;0.682239;0;0.000244422;0.000542272;0;0.0244251;0.0541894;0.000210031;0.000332242;0.000244422;0.0209884;0.033201;0.0244251
